model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
MLP,MLP_R1_pca3,{'pca__n_components': 3},0.7224607001116397,0.03643073300691898,0.7027726794588915,0.04448484264452883,0.7546453191553768,0.038751626806058204,0.7103903345212157,0.0413919730646112,0.6211103977649346,0.04782554722104872,0.9395300664169175,0.017612289579923508,0.8079168536520239,0.07035104275964622,0.7762874623519024,0.8808459195815018,0.8767016649017435,0.15838521946986217,0.1663113303805278
MLP,MLP_R1_pca5,{'pca__n_components': 5},0.8850437014593584,0.030920948500362543,0.8764799124377156,0.03459108487546966,0.8818858067089723,0.048529718638870505,0.8716897905842501,0.04078959823405429,0.83846534968564,0.04183863611435607,0.9811820672149727,0.010395598685424393,0.9389368866340467,0.03368301657594322,0.9099531173537057,0.989984620985439,0.9886061215607824,0.10494091952608064,0.11691633097653231
MLP,MLP_R1_pca8,{'pca__n_components': 8},0.908863933931101,0.019028373264087083,0.9095675718055933,0.03147279679798443,0.8988640050288668,0.04629802185376227,0.8963303640901115,0.04277840144869446,0.8702434134437824,0.02562940591042131,0.9912819301693789,0.0032344836739327224,0.971137177603729,0.010963611149502039,0.9341964161385773,0.9988469373446677,0.9988991563321166,0.08998300341356669,0.1025687922420051
MLP,MLP_R1_pca12,{'pca__n_components': 12},0.917841838017311,0.01615287162560939,0.9228253324605216,0.03374462386304764,0.8980202554291161,0.04432219354283132,0.9025076856022455,0.03674975673072178,0.882820975612869,0.021777056380517502,0.9924155360153091,0.0018710677902064427,0.9737176989035815,0.007888824268557547,0.9392119574374204,0.9998799431202446,0.9999134909379359,0.08203810510293363,0.09740580533569043
1D-CNN,1D-CNN_R1_pca3,{'pca__n_components': 3},0.7221157320588363,0.06332088413139984,0.6973348102246911,0.07441780229200291,0.7490445584491996,0.06515156415411898,0.7072750561500349,0.07246583168032396,0.6174149999811817,0.08153024267768655,0.9355779270321876,0.02178062435100853,0.7966282438022435,0.07729471341394589,0.770870266647623,0.8931667892292807,0.8853526299089453,0.17105105717044444,0.1780775737589103
1D-CNN,1D-CNN_R1_pca5,{'pca__n_components': 5},0.8778356295778689,0.03302748739196968,0.8654177749497565,0.051234858651342974,0.8706737107617233,0.05123384624822167,0.8556319677205094,0.05011433875811833,0.8293403741564651,0.04362900186797953,0.9811742784295159,0.01000502299769371,0.9296740561567463,0.04674748138942799,0.899992070318496,0.9903935467805958,0.9884001721275968,0.1125579172027269,0.13276820440708736
1D-CNN,1D-CNN_R1_pca8,{'pca__n_components': 8},0.9073694715201407,0.02341520271103127,0.8978152355972051,0.03404401376710956,0.8921059797110095,0.04359031680294014,0.8876447091487052,0.0426435376329294,0.8688338302269489,0.031829502440518895,0.9867480503715458,0.007703428563675487,0.9437785454520913,0.03276760401519647,0.9219467232380903,0.9987267188059287,0.9988330952885395,0.09135724728578798,0.11118838613983428
1D-CNN,1D-CNN_R1_pca12,{'pca__n_components': 12},0.905807496683684,0.026419379050795597,0.9064390956689087,0.03253690559184925,0.8971371095445664,0.048722030770440745,0.8933997409201584,0.046694928536028656,0.8671781809537757,0.035813323055832916,0.9907348088151903,0.003962523576568987,0.965080481932899,0.017372844427593504,0.9306897711099817,0.9992554271397133,0.9992551794009197,0.09344793045602928,0.10585543848076129
