tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,0.1,5,0.01,3,2,0.6268011527377522,0.7280508669280594,0.6268011527377522,0.6248474191008381,0.8790037623332237,0.7519150025486967
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,0.1,5,0.01,3,3,0.6243996157540826,0.7050561259993985,0.6243996157540826,0.6200005782125506,0.8723681064473255,0.737813587777467
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,0.1,5,0.01,3,4,0.6157540826128722,0.7040921654603995,0.6157540826128722,0.6121418031221715,0.8616777879360467,0.7176271057348391
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,0.1,5,0.01,3,5,0.5915425276309466,0.6791943012518987,0.5915425276309466,0.5865931213031799,0.8579839378193892,0.7157728902524455
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,0.1,5,0.5,0,1,0.6167146974063401,0.7498862398218435,0.6167146974063401,0.6232057129943019,0.8738895432485275,0.7435569812124049
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,0.1,5,0.5,0,2,0.6104707012487992,0.7434366068912158,0.6104707012487992,0.618122069865684,0.8675908334225387,0.7337428657455781
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,0.1,5,0.5,0,3,0.6061479346781941,0.7622594148677021,0.6061479346781941,0.6128357580770133,0.869091413010182,0.7318208382653332
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,0.1,5,0.5,0,4,0.6056676272814602,0.766986529492564,0.6056676272814602,0.6114905389315274,0.8674487324939861,0.7368378592946289
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,0.1,5,0.5,0,5,0.5973089860643921,0.75283048734451,0.5973089860643921,0.6031004097166666,0.8678586083944501,0.7350556637673525
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,0.1,5,0.5,3,1,0.8693563880883766,0.8860664615613555,0.8693563880883766,0.8715702038324531,0.9812582329331635,0.9506041931672272
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,0.1,5,0.5,3,2,0.872718539865514,0.8922884869057403,0.872718539865514,0.8759487442373274,0.9822899261128346,0.9552994556565686
