tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,0.1,5,0.5,3,3,0.8746397694524496,0.8897258618685989,0.8746397694524496,0.8773001669643272,0.9833150546725657,0.9556452945544972
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,0.1,5,0.5,3,4,0.8645533141210374,0.8857624128875853,0.8645533141210374,0.8674568807880949,0.9839190577008576,0.9578924905103691
C=0.1 | class_weight=balanced | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,0.1,5,0.5,3,5,0.8649687650168189,0.8821709184906593,0.8649687650168189,0.8677913340787424,0.9800579207791607,0.9477692835982378
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,10.0,1,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,10.0,1,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,10.0,1,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,10.0,1,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,10.0,1,0.01,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,10.0,1,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,10.0,1,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,10.0,1,0.01,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,10.0,1,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,10.0,1,0.01,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,10.0,1,0.5,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,10.0,1,0.5,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,10.0,1,0.5,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,10.0,1,0.5,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,10.0,1,0.5,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=3,0.1,balanced,10.0,1,0.5,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=3,0.1,balanced,10.0,1,0.5,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=3,0.1,balanced,10.0,1,0.5,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=3,0.1,balanced,10.0,1,0.5,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=1 | gamma=0.5 | coef0=3,0.1,balanced,10.0,1,0.5,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=0,0.1,balanced,10.0,5,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=0,0.1,balanced,10.0,5,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=0,0.1,balanced,10.0,5,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=0,0.1,balanced,10.0,5,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=0,0.1,balanced,10.0,5,0.01,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,10.0,5,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,10.0,5,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,10.0,5,0.01,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,10.0,5,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.01 | coef0=3,0.1,balanced,10.0,5,0.01,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,10.0,5,0.5,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,10.0,5,0.5,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,10.0,5,0.5,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,10.0,5,0.5,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=0,0.1,balanced,10.0,5,0.5,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,10.0,5,0.5,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,10.0,5,0.5,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,10.0,5,0.5,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,10.0,5,0.5,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | tol=10 | degree=5 | gamma=0.5 | coef0=3,0.1,balanced,10.0,5,0.5,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,,0.1,1,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5873933241418668,0.3535334056064508
