tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,balanced,ovr,10.0,0.01,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,balanced,ovr,10.0,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,balanced,ovr,10.0,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,balanced,ovr,10.0,0.01,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,balanced,ovr,10.0,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,balanced,ovr,10.0,0.01,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,balanced,ovr,10.0,0.5,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,balanced,ovr,10.0,0.5,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,balanced,ovr,10.0,0.5,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,balanced,ovr,10.0,0.5,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,balanced,ovr,10.0,0.5,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,balanced,ovr,10.0,0.5,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,balanced,ovr,10.0,0.5,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,balanced,ovr,10.0,0.5,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,balanced,ovr,10.0,0.5,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,balanced,ovr,10.0,0.5,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,,ovr,0.1,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5958098818101184,0.3772115520564008
