tag,n_estimators,learning_rate,max_depth,rate_drop,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9534060137775308,0.8978704998681247
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9857075023741692,0.9678807482637406
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9636727145499074,0.9181258920335413
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9569687793464845,0.9103545678157896
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6683881242375865,0.5162837543050082
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.7056217456243256,0.5900286198585666
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6390702959846407,0.46183888382943034
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6893724328837847,0.5011531872330264
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6284726741168074,0.46819621334945594
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9288599072915358,0.8480914243485216
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9377155863094975,0.8794121020279133
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9736359186049588,0.9385738905364834
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9592816411314864,0.9063438489761183
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9555097387559968,0.9117400050670107
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6659409909918588,0.499639105125561
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.67628069146387,0.5126813636734561
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6129503203290613,0.4339058405264069
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6490481640249443,0.47023881531740774
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5921997777049798,0.4321205257823388
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,1,0.6857142857142857,0.7052552364229273,0.6857142857142857,0.6640182453296447,0.9203437818134191,0.8444040803306134
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,2,0.7596153846153846,0.7724553224553224,0.7596153846153846,0.7413115912113379,0.9479045201826419,0.8850368427489375
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,3,0.875,0.8734511102932155,0.875,0.8638969979533484,0.9812965462088269,0.9544237990002075
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,4,0.8173076923076923,0.8153348658478007,0.8173076923076923,0.8069568992328425,0.9572387164492427,0.9147116761635042
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,5,0.7692307692307693,0.7950813609467455,0.7692307692307693,0.753373762071154,0.9599937866574285,0.9297324895290704
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,4,0.1,5.0,,1,0.49523809523809526,0.693731778425656,0.49523809523809526,0.37860317460317455,0.6763525383893261,0.5359590866318303
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,4,0.1,5.0,,2,0.49038461538461536,0.5200961538461539,0.49038461538461536,0.35732801996538266,0.6457114642228162,0.4946611486624555
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,4,0.1,5.0,,3,0.4519230769230769,0.4249622926093514,0.4519230769230769,0.2974692393736018,0.6331823567633681,0.4522807438939506
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,4,0.1,5.0,,4,0.46153846153846156,0.3681410256410256,0.46153846153846156,0.3171557380348589,0.6894751542842358,0.49246147775338883
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,4,0.1,5.0,,5,0.46153846153846156,0.4959207459207459,0.46153846153846156,0.32693225872270965,0.648642529570096,0.4905234452287062
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.5,0.1,,1,0.5238095238095238,0.6354107490949595,0.5238095238095238,0.41365889902060116,0.9168193505727713,0.8359503523070779
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.5,0.1,,2,0.5288461538461539,0.6635616987179487,0.5288461538461539,0.4239648680232234,0.9078202776087193,0.8301465775260909
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.5,0.1,,3,0.5,0.6568570318570319,0.5,0.3749207255200406,0.9726490213719317,0.9437258573887777
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.5,0.1,,4,0.5,0.6568570318570319,0.5,0.3749207255200406,0.9467708728415644,0.8886036219830007
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.5,0.1,,5,0.46153846153846156,0.4206259426847663,0.46153846153846156,0.31033264033264035,0.9447327621488163,0.8916568093716177
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,4,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.686282941452196,0.525534755542853
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,4,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.652253328981915,0.5160314525805719
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,4,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5933191397716681,0.40531669230615647
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,4,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6623311987863072,0.47417939697194306
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,4,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6328900547150593,0.4541078918656896
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,0.1,,1,0.7238095238095238,0.7397530024155412,0.7238095238095238,0.7035899069453887,0.927726389549427,0.8613250428143314
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,0.1,,2,0.7788461538461539,0.7867712148962149,0.7788461538461539,0.7649458824796741,0.9602385488608399,0.9041314134017827
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,0.1,,3,0.8557692307692307,0.854034123770966,0.8557692307692307,0.8449459194651503,0.9878330084470436,0.9710263490928747
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,0.1,,4,0.7980769230769231,0.8021237341090283,0.7980769230769231,0.7871152212273708,0.962684310491328,0.9224192637560744
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,0.1,,5,0.7692307692307693,0.7850046141938557,0.7692307692307693,0.7525218371372216,0.9698803282883084,0.9402048729202634
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,10,0.1,5.0,,1,0.5047619047619047,0.5946825396825398,0.5047619047619047,0.39574983478404,0.6804863563474511,0.5269780073476741
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,10,0.1,5.0,,2,0.5,0.46914246467817894,0.5,0.37358465289499776,0.6487164051405537,0.513444334709365
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,10,0.1,5.0,,3,0.47115384615384615,0.4092425431711146,0.47115384615384615,0.3368086256017291,0.6394580279255202,0.45825425818570736
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,10,0.1,5.0,,4,0.47115384615384615,0.5417152292152292,0.47115384615384615,0.33596646567536975,0.674555670221305,0.49697142807752664
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.1,10,0.1,5.0,,5,0.46153846153846156,0.4590617715617716,0.46153846153846156,0.3262517853499286,0.6343458442668999,0.471855316004605
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.5,0.1,,1,0.5238095238095238,0.6354107490949595,0.5238095238095238,0.41365889902060116,0.9292780795752278,0.8578001698456649
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.5,0.1,,2,0.5288461538461539,0.6635616987179487,0.5288461538461539,0.4239648680232234,0.93953737515399,0.8809771834344224
