tag,filters,kernel_size,dropout,learning_rate,batch_size,epochs,fold,accuracy,precision,recall,F1,auroc,prauc
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.001,32,100,1,0.8967339097022095,0.9001208695632865,0.8967339097022095,0.897733933781532,0.9893022917281146,0.9700036052526089
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.001,32,100,2,0.904418828049952,0.9074014913943426,0.904418828049952,0.9052519543892708,0.9882445501457832,0.9665393184602433
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.001,32,100,3,0.9068203650336215,0.9103605425180411,0.9068203650336215,0.9077320776971257,0.9897059850644567,0.9690297279810943
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.001,32,100,4,0.8924111431316042,0.8927942502874211,0.8924111431316042,0.8923826204125239,0.9886703079201817,0.9687725477433083
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.001,32,100,5,0.8870735223450265,0.8890918724969653,0.8870735223450265,0.8873556150102693,0.9866396256607255,0.9626973838566988
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.0001,32,100,1,0.8539865513928915,0.8595020395496998,0.8539865513928915,0.8550369414162662,0.9781072412994108,0.9415221835161929
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.0001,32,100,2,0.8587896253602305,0.863478158261453,0.8587896253602305,0.8594485518301556,0.9803977012567042,0.9454751003295883
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.0001,32,100,3,0.8722382324687801,0.8745422199765429,0.8722382324687801,0.8729255736116479,0.9813778529016632,0.9467547193172688
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.0001,32,100,4,0.8587896253602305,0.8612293021655687,0.8587896253602305,0.8595780682651969,0.9803443082140522,0.9485673380127371
"filters=(32, 64) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.1,0.0001,32,100,5,0.8505526189332052,0.853531905762264,0.8505526189332052,0.8512338509033652,0.9751663442910766,0.9346482965925955
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.001,32,100,1,0.8366954851104706,0.845748273665083,0.8366954851104706,0.8383639139238995,0.9746280103254699,0.932471324590672
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.001,32,100,2,0.8515850144092219,0.8645871700648473,0.8515850144092219,0.8529709161326704,0.9791991533565738,0.9393966780500229
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.001,32,100,3,0.8655139289145053,0.8731801901911501,0.8655139289145053,0.866740129666222,0.9798262722699268,0.9410709739268485
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.001,32,100,4,0.8501440922190202,0.8578054975304167,0.8501440922190202,0.8515726590800234,0.9769194221158,0.9374048286511794
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.001,32,100,5,0.8476693897164824,0.855056010601178,0.8476693897164824,0.8486275149433921,0.9748044497883276,0.9329350779226423
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.0001,32,100,1,0.7718539865513929,0.7753161049372341,0.7718539865513929,0.77097973329351,0.9509233500964228,0.8742581243242857
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.0001,32,100,2,0.7833813640730067,0.7895466265873833,0.7833813640730067,0.7836864563570963,0.9530623725211557,0.8786970257865259
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.0001,32,100,3,0.8160422670509125,0.823007285620984,0.8160422670509125,0.816057131820605,0.9616892595085554,0.8974786990954464
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.0001,32,100,4,0.787223823246878,0.7903471405531397,0.787223823246878,0.7874776661810384,0.9558035616676662,0.8858908752900021
"filters=(32, 64) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",3,0.3,0.0001,32,100,5,0.786641037962518,0.7945629177237252,0.786641037962518,0.7874179662947517,0.9505704222706065,0.8744460401878129
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.001,32,100,1,0.8900096061479347,0.8943507238804383,0.8900096061479347,0.8909615936252406,0.9876754335023739,0.9668191287045521
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.001,32,100,2,0.9015369836695485,0.9041586329362998,0.9015369836695485,0.9024364214709277,0.9882073919777676,0.9666530170089433
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.001,32,100,3,0.8962536023054755,0.8973389720185331,0.8962536023054755,0.8966375190243302,0.9880740899128881,0.9664326647102193
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.001,32,100,4,0.8948126801152738,0.8975196182534095,0.8948126801152738,0.8952445513599867,0.9881686928251364,0.9680077132071155
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.001,32,100,5,0.8865929841422393,0.8882003685093233,0.8865929841422393,0.886960319222443,0.9856810872471158,0.9600451178166133
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.0001,32,100,1,0.8607108549471661,0.8637567919673231,0.8607108549471661,0.8616417682636254,0.9781639687948613,0.9447315190404685
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.0001,32,100,2,0.8568683957732949,0.8607771728579534,0.8568683957732949,0.857862313430533,0.9784932606858053,0.9442222184673459
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.0001,32,100,3,0.8703170028818443,0.8715808538937422,0.8703170028818443,0.8707649686132861,0.980469541613288,0.9496141821438653
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.0001,32,100,4,0.8645533141210374,0.8688619895867681,0.8645533141210374,0.8656030797145038,0.9811682696491524,0.9502875777227521
"filters=(64, 128) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.1,0.0001,32,100,5,0.8510331571359923,0.8538938056097716,0.8510331571359923,0.8518673331771415,0.9766464363356836,0.9388982706602301
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.001,32,100,1,0.8482228626320846,0.8538246858868054,0.8482228626320846,0.848839062728839,0.9766743323705183,0.9392025129675827
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.001,32,100,2,0.8520653218059558,0.8626965948673908,0.8520653218059558,0.8538338353699587,0.9778240350754244,0.9411308936135215
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.001,32,100,3,0.8731988472622478,0.8791566492069258,0.8731988472622478,0.8743267074051738,0.9807874563696711,0.9485443387237119
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.001,32,100,4,0.861671469740634,0.865817762779809,0.861671469740634,0.8626740751201872,0.9806549625663706,0.9488738148177711
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.001,32,100,5,0.8462277751081211,0.8534123502231126,0.8462277751081211,0.8462124942428193,0.9756847544521444,0.9372568123320223
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.0001,32,100,1,0.781940441882805,0.7834678041896217,0.781940441882805,0.7820624794825985,0.9512854387401826,0.8799465460754834
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.0001,32,100,2,0.7973102785782901,0.8003238980735932,0.7973102785782901,0.7979168626250299,0.9556135320602431,0.8873345429426005
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.0001,32,100,3,0.8251681075888568,0.8286109125450601,0.8251681075888568,0.8255702916319397,0.9614392093696862,0.9020023820374828
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.0001,32,100,4,0.7997118155619597,0.8020072393320867,0.7997118155619597,0.7979588514032748,0.9590888916624243,0.8959184350413393
"filters=(64, 128) | kernel_size=2 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",2,0.3,0.0001,32,100,5,0.7972128784238347,0.8029227465973621,0.7972128784238347,0.797681282250108,0.9559119320145494,0.8898131694095617
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.001,32,100,1,0.9010566762728146,0.9030692644525362,0.9010566762728146,0.9017398020682402,0.9898864255661824,0.9719863801629696
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.001,32,100,2,0.9130643611911623,0.9167307686396883,0.9130643611911623,0.9139571221037043,0.990933314324156,0.9732771068850605
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.001,32,100,3,0.9087415946205571,0.9097304816599843,0.9087415946205571,0.9091176432482011,0.9898728067567995,0.9704653505433707
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.001,32,100,4,0.9058597502401537,0.9071754854946693,0.9058597502401537,0.9063300336530239,0.9903369670351312,0.972515782861234
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.001,32,100,5,0.8875540605478136,0.8901639493003687,0.8875540605478136,0.8881716047184055,0.9879187462336823,0.9655074184817842
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.0001,32,100,1,0.8813640730067243,0.8858878815289665,0.8813640730067243,0.8825215801211205,0.9854575264771197,0.9596773816025597
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.0001,32,100,2,0.8823246878001921,0.8857787827595559,0.8823246878001921,0.8828906284853248,0.9857365625372957,0.959315163026409
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.0001,32,100,3,0.8972142170989433,0.8996229338503137,0.8972142170989433,0.897749054039757,0.9859521837823709,0.9595021572749566
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.0001,32,100,4,0.8813640730067243,0.8829041013166519,0.8813640730067243,0.8819146781950726,0.9848098529713862,0.9591239711377652
"filters=(64, 128) | kernel_size=3 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.1,0.0001,32,100,5,0.8750600672753484,0.876795707976674,0.8750600672753484,0.8754592282273976,0.9824376908999581,0.951593170750192
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.001,32,100,1,0.8799231508165226,0.8871665544454632,0.8799231508165226,0.8816788419471145,0.9842510611332431,0.9566809486810506
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.001,32,100,2,0.8832853025936599,0.8918603361311364,0.8832853025936599,0.8847649588741048,0.985584398734202,0.95801685200893
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.001,32,100,3,0.8852065321805955,0.8891422305153099,0.8852065321805955,0.8858267690942628,0.985976813783502,0.9585593201628811
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.001,32,100,4,0.8756003842459174,0.8817977469436782,0.8756003842459174,0.8768692078323582,0.9850675982239082,0.9580859289342568
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.001,32,100,5,0.8716962998558385,0.8822278349960964,0.8716962998558385,0.8729326274191767,0.9836155827152661,0.9532713081454075
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.0001,32,100,1,0.8093179634966379,0.8180563890224686,0.8093179634966379,0.8103908061798158,0.9680695921563586,0.9176548500823567
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.0001,32,100,2,0.8270893371757925,0.8339408803166147,0.8270893371757925,0.8275885365419743,0.9707554833672365,0.921538601978789
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.0001,32,100,3,0.851104707012488,0.8553990148950902,0.851104707012488,0.8516785238142381,0.9735526142065586,0.9285171526895291
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.0001,32,100,4,0.8290105667627281,0.8338827939265833,0.8290105667627281,0.8300071947909842,0.9703635356762934,0.9247981297602259
"filters=(64, 128) | kernel_size=3 | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 128)",3,0.3,0.0001,32,100,5,0.8265257087938491,0.8311261366742927,0.8265257087938491,0.8272696807539899,0.9669768004992391,0.9138711233022943
