tag,iterations,depth,learning_rate,l2_leaf_reg,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.01,5,5.0,,5,0.4519230769230769,0.3792553191489362,0.4519230769230769,0.3348901098901099,0.6297097488224631,0.45915439147194503
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,500,10,0.1,1,0.1,,1,0.8571428571428571,0.8610711422404299,0.8571428571428571,0.8568380313630105,0.9587721436275931,0.9128534736911432
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,500,10,0.1,1,0.1,,2,0.8653846153846154,0.868800381764778,0.8653846153846154,0.8622950462236177,0.9859438167229704,0.9632748865939642
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,500,10,0.1,1,0.1,,3,0.9519230769230769,0.954377353415815,0.9519230769230769,0.9510700113378684,0.9959151796871095,0.9844154119692193
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,500,10,0.1,1,0.1,,4,0.8846153846153846,0.8932837995337995,0.8846153846153846,0.8864359019193782,0.9698418053681211,0.9428429158024478
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,500,10,0.1,1,0.1,,5,0.8846153846153846,0.8880540293040292,0.8846153846153846,0.8830137504339632,0.9842588499197694,0.9699893020897077
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,500,10,0.1,1,5.0,,1,0.5333333333333333,0.6151055293912436,0.5333333333333333,0.4419466651218476,0.6669118674234061,0.5329750099541108
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,500,10,0.1,1,5.0,,2,0.5288461538461539,0.7501001602564101,0.5288461538461539,0.42675766541151156,0.7145328179254908,0.5719627322253122
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,500,10,0.1,1,5.0,,3,0.47115384615384615,0.5109742408129505,0.47115384615384615,0.36488447449985906,0.662157546329373,0.4681150453687843
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,500,10,0.1,1,5.0,,4,0.5096153846153846,0.6739541160593792,0.5096153846153846,0.40649549818806735,0.6915976834578486,0.5340119177147835
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,500,10,0.1,1,5.0,,5,0.4326923076923077,0.34716845654345657,0.4326923076923077,0.3363554436255447,0.6444632015360005,0.4903671539702155
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,500,10,0.1,5,0.1,,1,0.8,0.8023357383357383,0.8,0.7983682031164868,0.9568801181568903,0.910862521628244
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,500,10,0.1,5,0.1,,2,0.8557692307692307,0.866504954740249,0.8557692307692307,0.8523794687161025,0.9834144814020974,0.9607951473960448
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,500,10,0.1,5,0.1,,3,0.9423076923076923,0.9435600457235073,0.9423076923076923,0.9417564378936023,0.9945793972109762,0.9819721619735096
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,500,10,0.1,5,0.1,,4,0.875,0.8784046310832025,0.875,0.8753893622697172,0.9628917378917379,0.9346013218578366
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,500,10,0.1,5,0.1,,5,0.875,0.8790158371040723,0.875,0.8699236037997906,0.9821436850550582,0.96739349792229
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.1,5,5.0,,1,0.5142857142857142,0.5803734259661312,0.5142857142857142,0.41023547880690736,0.6473942534585544,0.4850459892881331
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.1,5,5.0,,2,0.5192307692307693,0.7478191911181603,0.5192307692307693,0.41043042605542607,0.7065599834175686,0.5814382787900698
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.1,5,5.0,,3,0.47115384615384615,0.490255376344086,0.47115384615384615,0.3636374171733973,0.6716710548366893,0.5026736933697873
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.1,5,5.0,,4,0.5192307692307693,0.6154732364409784,0.5192307692307693,0.4220273316427162,0.6932896280419499,0.5276097027490846
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,500,10,0.1,5,5.0,,5,0.4519230769230769,0.4187806873977087,0.4519230769230769,0.34390411631790935,0.6463896033025518,0.492324376572121
