model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
CatBoost,CatBoost_R1_depth6_it500_l23_lr0.1_pca12,"{'model__depth': 6, 'model__iterations': 500, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.1, 'pca__n_components': 12}",0.9075749130886324,0.02433506675099759,0.9135330789665884,0.030533282549186625,0.9172093572677931,0.015628509826017968,0.9123811557927333,0.0190140288709656,0.8688857370210414,0.033382231307901036,0.9894571979845898,0.003585782676524861,0.9669087033162548,0.013821542685764607,0.9379109092065029,0.9999039355457979,0.9999347747607983,0.09232902245716557,0.08755361896806502
SVC-rbf,SVC-rbf_R1_C100_gscale_pca12,"{'model__C': 100, 'model__gamma': 'scale', 'pca__n_components': 12}",0.9154852040301957,0.016893763305557634,0.9051458894638882,0.052179583005272354,0.9131854387855368,0.03378938873019969,0.9067884865113875,0.04202352738658305,0.880046113403002,0.02263742720282072,0.9915744257635655,0.003225027991507835,0.9667382887786011,0.02758584405092278,0.9378499439971634,0.9998078595706736,0.9998532273554612,0.08432265554047791,0.09306474084407368
XGB-dart,XGB-dart_R1_lr0.3_md6_n400_lam1_pca12,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__n_estimators': 400, 'model__reg_lambda': 1, 'pca__n_components': 12}",0.8979082968127159,0.03214098092039139,0.9113837439624648,0.0315300144251073,0.8848153482549197,0.03381685631906884,0.8934046393358701,0.030154746931823333,0.8543982284850011,0.04473530920163123,0.9843589448808592,0.005968258398568429,0.9519338818599714,0.019573269623780434,0.9241792118127806,1.0,1.0,0.10209170318728411,0.10659536066412989
XGB-gbtree,XGB-gbtree_R1_lr0.3_md6_n400_lam1_pca12,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__n_estimators': 400, 'model__reg_lambda': 1, 'pca__n_components': 12}",0.8979082968127159,0.03214098092039139,0.9113837439624648,0.0315300144251073,0.8848153482549197,0.03381685631906884,0.8934046393358701,0.030154746931823333,0.8543982284850011,0.04473530920163123,0.9843589448808592,0.005968258398568429,0.9519338818599714,0.019573269623780434,0.9241792118127806,1.0,1.0,0.10209170318728411,0.10659536066412989
SVC-poly,SVC-poly_R1_C10_d3_g0.1_pca12,"{'model__C': 10, 'model__degree': 3, 'model__gamma': 0.1, 'pca__n_components': 12}",0.8278388133865908,0.021856608025525647,0.8020270659870332,0.03808176945588607,0.8663807667819354,0.018118651280744483,0.8229010038350733,0.024477312342604855,0.7658315718309603,0.02863664360176599,0.9591288287023139,0.023455783236280992,0.8919583408181418,0.0401317447250353,0.8659250435228985,0.9739205030203519,0.980587001978367,0.1460816896337611,0.15768599814329376
SVC-linear,SVC-linear_R1_C100_pca12,"{'model__C': 100, 'pca__n_components': 12}",0.5377614327386182,0.06096150307376309,0.5006102895704184,0.0691477256746396,0.6186144823030986,0.05014346683770538,0.5029328874693038,0.0683180808101738,0.40196160426097177,0.08226071575169557,0.8681476790142921,0.03525493319672037,0.6203008697630942,0.0898527811740546,0.608071519787628,0.6443841735415778,0.6206393684680906,0.10662274080295964,0.11770648099878689
SVC-sigmoid,SVC-sigmoid_R1_C1_g0.01_pca12,"{'model__C': 1, 'model__gamma': 0.01, 'pca__n_components': 12}",0.4755178449252213,0.06868157796965811,0.4553143595296364,0.04226828098638797,0.5720319234875879,0.061299095677376826,0.4241416377403685,0.0582261643657965,0.3466997051940233,0.08388363389901961,0.8312970124849762,0.03018764466165913,0.4945738466395536,0.05903167285346055,0.5306884456589779,0.559686572682701,0.5170160211862859,0.08416872775747963,0.09287438344591736
