tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=1,0.1,balanced,ovr,0.1,0.1,1,5,0.05478135511773186,0.13725996022741188,0.05478135511773186,0.059438541390938834,0.670690773517108,0.4786196713605859
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=5,0.1,balanced,ovr,0.1,0.1,5,1,0.05235350624399616,0.4471892620489595,0.05235350624399616,0.05766351439442651,0.395936315384916,0.2713243161800453
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=5,0.1,balanced,ovr,0.1,0.1,5,2,0.053794428434197884,0.4471685700188071,0.053794428434197884,0.06098030949680131,0.3968026781921531,0.27107868752177755
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=5,0.1,balanced,ovr,0.1,0.1,5,3,0.2223823246878002,0.04945389833355019,0.2223823246878002,0.0809139617528106,0.41599033330956436,0.2806602245270572
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=5,0.1,balanced,ovr,0.1,0.1,5,4,0.06484149855907781,0.36524028656308205,0.06484149855907781,0.0775323546765345,0.3921309985214751,0.26838745264795105
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1 | coef0=5,0.1,balanced,ovr,0.1,0.1,5,5,0.09754925516578568,0.0436464912674916,0.09754925516578568,0.02916481080562706,0.42529250189772305,0.27547011097406576
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=0,0.1,balanced,ovr,0.1,1.0,0,1,0.1239193083573487,0.23377160451036566,0.1239193083573487,0.147466811539741,0.6340787246993501,0.4458868276113282
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=0,0.1,balanced,ovr,0.1,1.0,0,2,0.1287223823246878,0.24992940804554317,0.1287223823246878,0.15626171885243764,0.6301723364388463,0.4303116495169216
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=0,0.1,balanced,ovr,0.1,1.0,0,3,0.12776176753121998,0.24928664598180295,0.12776176753121998,0.1485084987754971,0.6444620193628914,0.4302493397368032
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=0,0.1,balanced,ovr,0.1,1.0,0,4,0.1484149855907781,0.26981465091363094,0.1484149855907781,0.1776062670386908,0.6330066566747143,0.43354062862576487
