tag,iterations,depth,learning_rate,l2_leaf_reg,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,1,0.9803073967339097,0.9806336661086364,0.9803073967339097,0.9803833420006326,0.9993870060045915,0.9979817705287348
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,2,0.9807877041306436,0.9808437199877214,0.9807877041306436,0.9808007148100515,0.9992579678345491,0.997949707574587
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,3,0.9726224783861671,0.9727936771644777,0.9726224783861671,0.9726825894563906,0.9989815156954516,0.9966747669460864
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,4,0.983669548511047,0.9837005261357205,0.983669548511047,0.9836805981640122,0.9995806945371175,0.9985257106337673
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,5,0.9697260932244114,0.9698108977444801,0.9697260932244114,0.9697540802164568,0.9984697400824208,0.995125495197799
