tag,n_estimators,learning_rate,max_depth,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,1,0.9731027857829011,0.9731223664822353,0.9731027857829011,0.9731020782444108,0.9990765247615669,0.9970773484074994
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,2,0.9726224783861671,0.9727771153800002,0.9726224783861671,0.9726593067332209,0.999031194517814,0.9972773443299427
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,3,0.9673390970220941,0.9675499883874834,0.9673390970220941,0.9674197963507767,0.9983072406811665,0.99410045454786
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,4,0.9764649375600384,0.9764879540825585,0.9764649375600384,0.9764705044144953,0.9994085474883684,0.9980306256536282
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,5,0.9639596347909659,0.9640519811458147,0.9639596347909659,0.9639840599092014,0.9983118209475935,0.9938958789080323
