tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,1,,0.1,5,0.5,3,1,0.9721421709894332,0.9726429524003674,0.9721421709894332,0.9723164118812329,0.9987534357599935,0.995808752502771
C=1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,1,,0.1,5,0.5,3,2,0.9740634005763689,0.9742747133702504,0.9740634005763689,0.9741004997069199,0.9984065995963579,0.9957072986913531
C=1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,1,,0.1,5,0.5,3,3,0.9620557156580212,0.9622617521407363,0.9620557156580212,0.96208912911026,0.9975988241137307,0.9935201031902109
C=1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,1,,0.1,5,0.5,3,4,0.9721421709894332,0.9727738606083074,0.9721421709894332,0.9723065385985373,0.9986063650111765,0.9960299805281012
C=1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,1,,0.1,5,0.5,3,5,0.9625180201826046,0.9633815000697218,0.9625180201826046,0.9626943147013538,0.9981657827879786,0.9941244482289395
