tag,C,class_weight,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=10 | class_weight=None | tol=0.1,10,,0.1,1,0.43948126801152737,0.2971671185153281,0.43948126801152737,0.3278427496367368,0.6962850367053447,0.4675662780211348
C=10 | class_weight=None | tol=0.1,10,,0.1,2,0.44908741594620555,0.2843801460445285,0.44908741594620555,0.3317496361097085,0.7218130459391366,0.5031275038833839
C=10 | class_weight=None | tol=0.1,10,,0.1,3,0.44668587896253603,0.2813651403564948,0.44668587896253603,0.32949857710789704,0.6872172316973549,0.4567154883141062
C=10 | class_weight=None | tol=0.1,10,,0.1,4,0.43756003842459174,0.2856311059059444,0.43756003842459174,0.31827663838356046,0.7064420238796952,0.48503032815223934
C=10 | class_weight=None | tol=0.1,10,,0.1,5,0.4406535319557905,0.27854862477272124,0.4406535319557905,0.325325570630386,0.6934765192297996,0.4587565652218986
