tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.1,10,1.0,0.5,2,0.7564841498559077,0.7556156557494687,0.7564841498559077,0.7537613036881613,0.9280725443528848,0.8377574997159349
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.1,10,1.0,0.5,3,0.7550432276657061,0.752116373228066,0.7550432276657061,0.749935828010747,0.9264084709899357,0.8282863573863615
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.1,10,1.0,0.5,4,0.75552353506244,0.7522057523957437,0.75552353506244,0.7519625055533029,0.9308617743699433,0.8329499631421875
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.1,10,1.0,0.5,5,0.7443536761172513,0.7387670530355334,0.7443536761172513,0.739313591667836,0.9215417456526172,0.8109542050808994
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.1,10,1.0,1.0,1,0.9231508165225745,0.923857013485646,0.9231508165225745,0.9233108485674049,0.9924913060966248,0.9798695004256285
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.1,10,1.0,1.0,2,0.9183477425552353,0.9193119121141072,0.9183477425552353,0.9186338318312358,0.9917590699458128,0.9768245182578297
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.1,10,1.0,1.0,3,0.9197886647454371,0.9204350588505532,0.9197886647454371,0.9200496918929099,0.9913089859288967,0.9761403279955513
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.1,10,1.0,1.0,4,0.914505283381364,0.9151350217802571,0.914505283381364,0.9146552376852218,0.991297339126575,0.9757059097149902
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.1,10,1.0,1.0,5,0.9005285920230658,0.9009571305486659,0.9005285920230658,0.9005587849431583,0.9891255396990628,0.9694487286162035
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.1,20,0.5,0.5,1,0.7579250720461095,0.7547951128159762,0.7579250720461095,0.7546535957888311,0.9275021619932163,0.8294325903310112
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.1,20,0.5,0.5,2,0.7459173871277618,0.7435845342925759,0.7459173871277618,0.7424449226304333,0.9243038112815813,0.8294854786949296
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.1,20,0.5,0.5,3,0.7478386167146974,0.7444221868676856,0.7478386167146974,0.7423959830530458,0.922326853317109,0.820350132794313
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.1,20,0.5,0.5,4,0.7411143131604226,0.7375415437901394,0.7411143131604226,0.7369649938961745,0.9258272476865254,0.8220096568423801
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.1,20,0.5,0.5,5,0.7333012974531475,0.72833549966996,0.7333012974531475,0.7288907322025148,0.9173331112949181,0.8025585962419065
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.1,20,0.5,1.0,1,0.925552353506244,0.9260898949948356,0.925552353506244,0.9256661232755827,0.9924479548490794,0.9798642436745549
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.1,20,0.5,1.0,2,0.9284341978866475,0.9294278482438291,0.9284341978866475,0.9287421338867481,0.9920772609171845,0.978246248409629
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.1,20,0.5,1.0,3,0.9231508165225745,0.9239031881214367,0.9231508165225745,0.9234445400040109,0.9918959043590863,0.9773306756279376
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.1,20,0.5,1.0,4,0.9217098943323727,0.9221080964721068,0.9217098943323727,0.9218158764576505,0.9912971869427745,0.9755392468985868
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.1,20,0.5,1.0,5,0.9048534358481499,0.9052702021340334,0.9048534358481499,0.9049630949696007,0.9891070010967907,0.9689896973770837
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.1,20,1.0,0.5,1,0.7588856868395774,0.7559849732400166,0.7588856868395774,0.7558556328471814,0.9271386856299233,0.82828932708996
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.1,20,1.0,0.5,2,0.7531219980787704,0.7516937916251144,0.7531219980787704,0.7498895848963492,0.924531596082782,0.8312275476118852
n_estimators=100 | learning_rate=0.1 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.1,20,1.0,0.5,3,0.7521613832853026,0.7484946451042137,0.7521613832853026,0.7472811791760626,0.9231271420029973,0.8221999663819974
