model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.4834467166187652,0.0601231289511209,0.5343645607120037,0.035618338419532936,0.547929624527218,0.035115052258446675,0.5010653398370664,0.030730470302600985,0.332017934365135,0.07379498180889892,0.8442252949518545,0.03743351026074261,0.6539623567447421,0.04917813499459299,0.607012221254792,0.5971836970228408,0.6471962404302065,0.1137369804040756,0.14613090059314016
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.6495096635677473,0.03828882356691891,0.6778776853703562,0.04138954210758893,0.7241303786506743,0.046997375277756215,0.6754455768463037,0.04907317518082306,0.5405375461353159,0.05605970687170757,0.9095993483738255,0.03229037517425162,0.774358400086062,0.05731769854021481,0.7400242500000078,0.7612385725594104,0.793150228717173,0.1117289089916631,0.11770465187086931
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C1_pca8,"{'model__C': 1, 'pca__n_components': 8}",0.7517231103554639,0.040120960434207736,0.765426839282082,0.05444306380407007,0.8121760102894846,0.044136445207091674,0.7746871787547029,0.04899305651439902,0.6655338519275141,0.05674749265236943,0.9402316215752826,0.026334936717047168,0.8502092966084588,0.05764567126212777,0.8192211337756397,0.8343513528189407,0.8601956549091918,0.08262824246347678,0.08550847615448887
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.798731611059984,0.027704767875319915,0.8075396763393599,0.04535938834479391,0.8491476605166591,0.03705387736313986,0.8169612707373826,0.03488286170903513,0.7253919815629684,0.04230378732320027,0.9560386540075024,0.023041189676001075,0.8907655284513772,0.04732394576155718,0.856807596656748,0.8776141416120893,0.9012228014409196,0.07888253055210526,0.08426153070353704
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca3,"{'model__C': 10, 'pca__n_components': 3}",0.5458705198915079,0.034387432811239654,0.5887177491702078,0.035239848751519906,0.6140845608133982,0.038351315862905744,0.5635974757285942,0.02972357633547713,0.40881742522153497,0.035188953761286064,0.872808629223011,0.034427473925602,0.6930508250180116,0.04347528771622428,0.6536856711191245,0.6826570863923026,0.722269098962997,0.13678656650079468,0.15867162323440276
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca5,"{'model__C': 10, 'pca__n_components': 5}",0.7147480049110533,0.04939764750536946,0.7366426363129779,0.056604130423777224,0.7818168459200531,0.05189775395921044,0.7408742765064827,0.0615716559894962,0.6240216713942888,0.06691407225054835,0.9334407140915136,0.03060709897051432,0.8351803015789236,0.04861908114484842,0.7960218045941835,0.8385098212921033,0.8587909738534721,0.12376181638105,0.1179166973469894
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca8,"{'model__C': 10, 'pca__n_components': 8}",0.812237336021156,0.03473185986430489,0.8170918608679738,0.06103717728808475,0.8486664488677533,0.04019289822232752,0.8227804879033114,0.05279615232239586,0.7457797482304891,0.047704696054788845,0.9597975510328725,0.022407875736203734,0.900735127947712,0.04391911126663191,0.8654684966554226,0.9132966790990086,0.9281726948630574,0.10105934307785258,0.10539220695974605
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8495171527759933,0.02863119410805609,0.847897186808493,0.05585274773553138,0.8711148913371499,0.0373891425645536,0.853543204506189,0.04655713141658642,0.7908594361601333,0.0415004354080331,0.9754061819741444,0.013434385305505678,0.9338263022269493,0.03134617314902869,0.8942664082710682,0.9549179193011745,0.9641903580766407,0.10540076652518127,0.11064715357045163
QSVC-reup_ent_linear,QSVC-reup_ent_linear_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.4440975431505539,0.059075003440104655,0.49309664728911873,0.04249964487067235,0.5085434511144006,0.04896392611171844,0.44220509766194577,0.04672065362743637,0.30863306972422944,0.06948020356812559,0.8229754119564682,0.03099736772861658,0.5859254769982434,0.04569635739025563,0.5608157031741013,0.5370517010941469,0.5634424088528294,0.09295415794359302,0.1212373111908836
QSVC-reup_ent_linear,QSVC-reup_ent_linear_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.48872340503230793,0.023967193015183876,0.5578860800492241,0.046792575875154105,0.5546935464785249,0.009972043364531507,0.5053886113798345,0.011724444781647008,0.3590015639535492,0.03959440812119709,0.8490102579144094,0.02526116212468168,0.6180676235797534,0.03625875923854853,0.6009856723121209,0.6162254395831352,0.659864814513125,0.12750203455082731,0.15447620313329047
