model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8495171527759933,0.02863119410805609,0.847897186808493,0.05585274773553138,0.8711148913371499,0.0373891425645536,0.853543204506189,0.04655713141658642,0.7908594361601333,0.0415004354080331,0.9754061819741444,0.013434385305505678,0.9338263022269493,0.03134617314902869,0.8942664082710682,0.9549179193011745,0.9641903580766407,0.10540076652518127,0.11064715357045163
QSVC-reup_ent_circular,QSVC-reup_ent_circular_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.7456916865519456,0.024147256515515178,0.754032426672626,0.04503141989130023,0.7744953000891892,0.03577624183602204,0.7493287808633662,0.0458204589728952,0.6551917611446194,0.03232172987923802,0.941464539717842,0.018058506650600912,0.8538664640957971,0.028801570930441122,0.8102637085104911,0.865246982635027,0.8870922706898499,0.11955529608308135,0.13776348982648368
QSVC-reup_ent_linear,QSVC-reup_ent_linear_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.7378127306968643,0.01983809954729105,0.744927371900481,0.04065207414708875,0.7695622397255388,0.034260842538559155,0.7436589152659353,0.04224633797792201,0.6435051408887101,0.029685520553175346,0.9353268097727314,0.02273555458940303,0.8409980814328278,0.038561568638673195,0.8021365223810394,0.8576340344255915,0.8796501545939492,0.11982130372872724,0.13599123932801394
