paradigm,model,config,acc,precision,recall,f1,mcc,auroc,prauc,composite
Classical,CatBoost,CatBoost_R1_depth6_it500_l23_lr0.1_pca12,0.9075749130886324,0.9135330789665884,0.9172093572677932,0.9123811557927332,0.8688857370210414,0.9894571979845898,0.9669087033162548,0.9379109092065028
Quantum,QSVC-star_v2,QSVC-star_v2_R1_C1_g0.5_pca12,0.9179289197568372,0.9219914321629602,0.9108454464076868,0.9109573935265488,0.8834094570144749,0.9909764044144674,0.9777225443723656,0.9434615554687172
Deep Learning,MLP,MLP_R1_pca12,0.917841838017311,0.9228253324605216,0.8980202554291161,0.9025076856022456,0.882820975612869,0.9924155360153092,0.9737176989035816,0.9392119574374204
